epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,9,,4.024205684661865,,,,,
0,19,,3.249793291091919,,,,,
0,29,,2.764549493789673,,,,,
0,39,,2.848804473876953,,,,,
0,49,,2.804780960083008,,,,,
0,59,,2.812311887741089,,,,,
0,69,,2.3388068675994873,,,,,
0,79,,2.599989891052246,,,,,
0,89,,1.9714598655700684,,,,,
0,99,,2.213197946548462,,,,,
0,109,,2.813091993331909,,,,,
0,119,,2.4463062286376953,,,,,
0,129,,2.351423978805542,,,,,
0,139,,2.1204090118408203,,,,,
0,149,,2.7444732189178467,,,,,
0,159,,2.323073625564575,,,,,
0,169,,1.974438190460205,,,,,
0,179,,2.1423518657684326,,,,,
0,189,,2.0099456310272217,,,,,
0,199,,2.1991360187530518,,,,,
0,209,,2.555027723312378,,,,,
0,219,,2.2038660049438477,,,,,
0,229,,2.476454734802246,,,,,
0,239,,2.2987630367279053,,,,,
0,249,,2.128147602081299,,,,,
0,259,,1.9415687322616577,,,,,
0,269,,2.218729257583618,,,,,
0,279,,1.8968616724014282,,,,,
0,289,,2.3510735034942627,,,,,
0,299,,2.0597121715545654,,,,,
0,309,,1.8363242149353027,,,,,
0,319,,2.1574556827545166,,,,,
0,329,,2.107391119003296,,,,,
0,339,,2.0950100421905518,,,,,
0,349,,1.916831612586975,,,,,
0,359,,2.037771463394165,,,,,
0,369,,1.7060108184814453,,,,,
0,379,,2.3619754314422607,,,,,
0,389,,2.1073718070983887,,,,,
0,399,,1.7183786630630493,,,,,
0,409,,2.084571599960327,,,,,
0,419,,2.0165250301361084,,,,,
0,429,,1.7623454332351685,,,,,
0,439,,2.2908315658569336,,,,,
0,449,,2.1063544750213623,,,,,
0,459,,1.8279796838760376,,,,,
0,469,,2.0359811782836914,,,,,
0,479,,2.0099620819091797,,,,,
0,489,,1.7410097122192383,,,,,
0,499,,1.928664207458496,,,,,
0,509,,1.9112496376037598,,,,,
0,519,,1.8618402481079102,,,,,
0,529,,2.2213056087493896,,,,,
0,534,,,3.939908266067505,0.16785061359405518,4.96927547454834,0.1614161878824234,2.89762282371521
0,534,2.2404487133026123,,,,,,
1,539,,1.9920495748519897,,,,,
1,549,,1.9463821649551392,,,,,
1,559,,2.1225831508636475,,,,,
1,569,,1.8208287954330444,,,,,
1,579,,1.7329607009887695,,,,,
1,589,,1.756883144378662,,,,,
1,599,,1.951677680015564,,,,,
1,609,,2.482410192489624,,,,,
1,619,,2.0453288555145264,,,,,
1,629,,2.1497304439544678,,,,,
1,639,,1.949920654296875,,,,,
1,649,,2.1456305980682373,,,,,
1,659,,1.5354704856872559,,,,,
1,669,,2.0318222045898438,,,,,
1,679,,1.9895896911621094,,,,,
1,689,,1.846697211265564,,,,,
1,699,,1.9143918752670288,,,,,
1,709,,1.8698116540908813,,,,,
1,719,,1.551296353340149,,,,,
1,729,,1.7097902297973633,,,,,
1,739,,1.8035306930541992,,,,,
1,749,,1.9858962297439575,,,,,
1,759,,1.7962154150009155,,,,,
1,769,,1.9170111417770386,,,,,
1,779,,2.1386678218841553,,,,,
1,789,,2.138465642929077,,,,,
1,799,,1.820055365562439,,,,,
1,809,,1.896164894104004,,,,,
1,819,,1.7412958145141602,,,,,
1,829,,1.8224111795425415,,,,,
1,839,,2.210502862930298,,,,,
1,849,,1.8897804021835327,,,,,
1,859,,1.6944743394851685,,,,,
1,869,,1.8940778970718384,,,,,
1,879,,2.0790767669677734,,,,,
1,889,,1.7139209508895874,,,,,
1,899,,2.1543262004852295,,,,,
1,909,,1.8188858032226562,,,,,
1,919,,1.9228825569152832,,,,,
1,929,,1.8056567907333374,,,,,
1,939,,1.7445732355117798,,,,,
1,949,,1.765008568763733,,,,,
